NN	время	маркер	маркер, c
129	swd1	3:54:12	13987,30994
130	swd2	3:54:15	13990
131	swd1	3:54:18	13993,05848
132	swd2	3:54:23	13998,33918
133	swd1	3:54:30	14004,87135
134	swd2	3:54:36	14010,66667
135	swd1	3:54:37	14012
136	swd2	3:54:42	14016,97661
137	swd1	3:54:47	14021,46199
138	swd2	3:54:52	14027,00585
139	swd1	3:55:13	14047,18129
140	swd2	3:55:16	14051,1345
141	swd1	3:56:03	14097
142	swd2	3:56:08	14102,44444
143	swd1	3:56:12	14106,67251
144	swd2	3:56:16	14110,54971
145	swd1	3:56:20	14114,77778
146	swd2	3:56:26	14120
147	swd1	3:56:29	14123,05848
148	swd2	3:56:33	14127,36842
149	swd1	3:56:36	14130,67251
150	swd2	3:56:44	14137,76023
151	swd1	3:56:52	14146,02339
152	swd2	3:56:57	14151,65497
153	swd1	3:57:30	14184,05848
154	swd2	3:57:42	14196,08187
155	swd1	3:57:49	14203
156	swd1	3:57:56	14210,05848
157	swd1	3:58:01	14215
158	swd2	3:58:06	14219,82456
159	swd1	3:58:19	14232,76023
160	swd2	3:58:23	14236,69006
161	swd1	3:58:38	14252
162	swd2	3:58:47	14260,97661
163	swd1	3:58:52	14266
164	swd2	3:59:01	14274,92398
165	swd1	3:59:14	14287,15205
166	swd2	3:59:18	14291,46784
167	swd1	3:59:37	14310
168	swd2	3:59:46	14319,79532
169	swd1	3:59:51	14324,85965
170	swd2	3:59:57	14330,63158
171	swd1	4:00:07	14340
172	swd2	4:00:15	14348,73099
173	swd1	4:00:28	14361
174	swd2	4:00:38	14370,96491
175	swd1	4:00:45	14378
176	swd2	4:00:53	14385,7193
177	swd1	4:00:56	14389
178	swd2	4:00:58	14391
179	swd1	4:06:50	14741,88304
180	swd2	4:07:08	14759
181	swd1	4:07:19	14770,74269
182	swd2	4:07:24	14775,4386
183	swd1	4:11:33	15023
184	swd2	4:11:42	15031,88304
185	swd1	4:11:44	15034
186	swd2	4:11:50	15040
187	swd1	4:12:00	15050
188	swd2	4:12:07	15057
189	swd1	4:12:13	15063,4269
190	swd2	4:12:19	15069,02924
191	swd1	4:12:26	15076
192	swd2	4:12:33	15082,35088
193	swd1	4:12:40	15089,49708
194	swd2	4:12:52	15101,35088
195	swd1	4:16:13	15302,31579
196	swd2	4:16:17	15305,54386
197	swd1	4:19:56	15523,54971
198	swd2	4:20:01	15528,34503
199	swd1	4:20:03	15531
200	swd2	4:20:06	15533,64327
201	swd1	4:20:21	15548,8655
202	swd2	4:20:24	15551,36842
203	swd1	4:20:46	15574
204	swd2	4:20:49	15576,84795
205	swd1	4:24:04	15771
206	swd2	4:24:13	15779,76608
207	swd1	4:24:20	15787
208	swd2	4:24:30	15796,82456
209	swd1	4:24:36	15802,22807
210	swd2	4:24:40	15806,74854
211	swd1	4:24:44	15810,80117
212	swd2	4:24:48	15814,91813
213	ds1	4:27:22	15967,80702
214	ds2	4:33:42	16346
215	swd1	4:34:49	16413
216	swd2	4:35:04	16427,14035
217	ds1	4:35:35	16458,15789
218	ds2	4:51:36	17415
219	swd1	4:53:29	17527,742
220	swd2	4:53:33	17531,00585
221	swd1	4:54:47	17605
222	swd2	4:54:55	17613,35673
223	swd1	4:55:03	17621
224	swd2	4:55:08	17625,68421
225	swd1	4:58:00	17797,54971
226	swd2	4:58:04	17800,92982
227	swd1	4:58:43	17839,55556
228	swd2	4:58:48	17845
229	swd1	4:59:01	17857,63158
230	swd2	4:59:09	17865,4152
231	swd1	4:59:10	17866,80702
232	swd2	4:59:13	17869,93567
233	swd1	4:59:38	17895
234	swd2	4:59:43	17899,33918
235	swd1	4:59:45	17901,69006
236	swd2	4:59:54	17910,67836
237	swd1	4:59:57	17913,40936
238	swd2	5:00:03	17919,65497
239	swd1	5:00:08	17924,73684
240	swd2	5:00:13	17929,46199
241	swd1	5:00:17	17933,53216
242	swd2	5:00:20	17937
243	swd1	5:00:30	17946,44444
244	swd2	5:00:35	17951,01754
245	swd1	5:00:58	17974,2807
246	swd2	5:01:01	17977,83626
247	swd1	5:01:08	17984,66667
248	swd2	5:01:12	17987,87135
249	swd1	5:01:34	18010,40936
250	swd2	5:01:37	18013
251	swd1	5:03:45	18140,63743
252	swd2	5:03:51	18146,85965
253	swd1	5:04:01	18156,84795
254	swd2	5:04:10	18165,73099
255	swd1	5:04:20	18175,52047
256	swd2	5:04:26	18181,89474
257	swd1	5:04:35	18190
258	swd2	5:04:39	18194,24561
259	swd1	5:04:48	18203
260	swd2	5:04:53	18208,69006
261	swd1	5:05:41	18256,50877
262	swd2	5:05:44	18258,68421
263	swd1	5:05:50	18265,49123
264	swd2	5:05:55	18269,94737
265	swd1	5:06:01	18276,47368
266	swd2	5:06:07	18281,95906
267	swd1	5:06:44	18318,83041
268	swd2	5:06:47	18321,92982
269	swd1	5:06:52	18326,5848
270	swd2	5:06:56	18330,80702
271	swd1	5:07:07	18341,59064
272	swd2	5:07:11	18345,20468
273	swd1	5:07:14	18349
274	swd2	5:07:17	18351,94152
275	swd1	5:07:19	18353,81871
276	swd2	5:07:21	18355,97076
277	swd1	5:07:24	18359
278	swd2	5:07:28	18362,14035
279	swd1	5:08:33	18427,57895
280	swd2	5:08:38	18432,25731
281	swd1	5:08:46	18439,96491
282	swd2	5:08:51	18445
283	swd1	5:08:59	18453,64327
284	swd2	5:09:07	18461
285	swd1	5:09:25	18478,596
286	swd2	5:09:30	18483,99415
287	swd1	5:09:43	18496,95322
288	swd2	5:09:48	18501,98246
289	swd1	5:10:12	18526
290	swd2	5:10:17	18531
291	swd1	5:10:21	18535
292	swd2	5:10:26	18539,90058
293	swd1	5:10:59	18572,48538
294	swd2	5:11:05	18578,35088
295	swd1	5:11:09	18583
296	swd2	5:11:14	18587,50877
297	swd1	5:11:20	18594
298	swd2	5:11:25	18598,87719
299	swd1	5:11:30	18603
300	swd2	5:11:33	18606,22222
301	swd1	5:11:39	18612
302	swd2	5:11:42	18615,67836
303	swd1	5:11:52	18625
304	swd2	5:11:57	18629,98246
305	swd1	5:12:02	18634,84795
306	swd2	5:12:05	18638,76608
307	swd1	5:13:09	18701,69006
308	swd2	5:13:15	18708
309	swd1	5:13:24	18716,73684
310	swd2	5:13:27	18719,95322
311	swd1	5:13:32	18725
312	swd2	5:13:37	18730,24561
313	swd1	5:13:46	18739
314	swd2	5:13:52	18744,59649
315	swd1	5:13:57	18749,91813
316	swd2	5:14:00	18752,90058
317	swd1	5:14:05	18757,82456
318	swd2	5:14:09	18761,32164
319	swd1	5:14:26	18779,00585
320	swd2	5:14:29	18781,54386
321	swd1	5:14:45	18797,4152
322	swd2	5:14:46	18799
323	swd1	5:14:49	18801,216
324	swd2	5:14:51	18803,61404
325	swd1	5:15:20	18832,771
326	swd2	5:15:24	18836,34503
327	swd1	5:16:19	18890,71345
328	swd2	5:16:24	18896
329	swd1	5:16:28	18900,51462
330	swd2	5:16:32	18904,42105
331	swd1	5:16:49	18920,73684
332	swd2	5:16:51	18922,5848
333	swd1	5:18:14	19005,18713
334	swd2	5:18:18	19010
335	swd1	5:18:33	19024,42105
336	swd2	5:18:36	19027,20468
337	swd1	5:18:42	19033
338	swd2	5:18:48	19039,11696
339	swd1	5:18:51	19042,5848
340	swd2	5:18:56	19047,80117
341	swd1	5:19:03	19054,32164
342	swd2	5:19:07	19058,1462
343	swd1	5:19:11	19062
344	swd2	5:19:13	19064,4152
345	swd1	5:19:26	19077,23977
346	swd2	5:19:31	19082,21053
347	swd1	5:19:42	19093,31579
348	swd2	5:19:48	19099,29825
349	swd1	5:20:38	19149,30409
350	swd2	5:20:42	19152,62573
351	ds1	5:21:00	19170,76023
352	ds2	5:34:49	19996,0117
353	swd1	5:36:03	20070
354	swd2	5:36:08	20075
355	swd1	5:36:19	20086
356	swd2	5:36:26	20092,20468
357	swd1	5:36:41	20107
358	swd2	5:36:46	20112,27485
359	swd1	5:36:49	20115,48538
360	swd2	5:36:52	20118,5731
361	swd1	5:37:13	20139,31579
362	swd2	5:37:17	20143,16374
363	swd1	5:37:18	20144,30409
364	swd2	5:37:21	20146,80117
365	swd1	5:37:39	20165
366	swd2	5:37:43	20169
367	swd1	5:37:48	20174
368	swd2	5:37:52	20178,49708
369	swd1	5:38:20	20205,5848
370	swd2	5:38:26	20212,14035
371	swd1	5:38:35	20220,67836
372	swd2	5:38:39	20225,06433
373	swd1	5:38:41	20227,08772
374	swd2	5:38:43	20229,30994
375	swd1	5:39:30	20275,53216
376	swd2	5:39:35	20280,26316
377	swd1	5:40:34	20338,9883
378	swd2	5:40:38	20343
379	swd1	5:40:44	20349,81287
380	swd2	5:40:50	20354,88304
381	swd1	5:40:55	20360
382	swd2	5:41:01	20366
383	swd1	5:41:05	20370,38
384	swd2	5:41:08	20373,456
385	swd1	5:41:13	20378,48538
386	swd2	5:41:19	20384,36842
387	swd1	5:41:38	20402,94152
388	swd2	5:41:42	20407,32164
389	swd1	5:41:46	20410,79532
390	swd2	5:41:48	20413,47368
391	swd1	5:42:06	20431,21637
392	swd2	5:42:11	20436
393	swd1	5:42:28	20452,46199
394	swd2	5:42:33	20457,52047
395	swd1	5:42:40	20465
396	swd2	5:42:46	20470,48538
397	swd1	5:43:01	20486
398	swd2	5:43:09	20493,56725
399	swd1	5:43:25	20509,38596
400	swd2	5:43:28	20512,92982
401	swd1	5:43:44	20528,94152
402	swd2	5:43:51	20535
403	swd1	5:47:01	20725
404	swd2	5:47:10	20733,77778
405	swd1	5:47:14	20738
406	swd2	5:47:21	20745
407	swd1	5:47:25	20748,73099
408	swd2	5:47:29	20752
409	ds1	5:48:38	20821
410	ds2	5:54:21	21162,9883
411	swd1	5:57:57	21377,46784
412	swd2	5:58:00	21380,426
413	swd1	5:58:03	21383,11696
414	swd2	5:58:10	21390,84795
415	swd1	5:58:48	21427,91228
416	swd2	5:58:51	21430,96491
417	swd1	5:59:00	21439,94152
418	swd2	5:59:07	21446,9883
419	swd1	5:59:08	21448,7193
420	swd2	5:59:14	21454,30994
421	swd1	5:59:47	21487,02339
422	swd2	5:59:52	21491,7076
423	swd1	5:59:54	21494,30994
424	swd2	5:59:58	21497,97661
