NN	время	маркер
105	3:15:51	swd2
106	3:15:59	swd1
107	3:16:01	swd2
108	3:17:20	swd1
109	3:17:24	swd2
110	3:20:25	ds1
111	3:22:00	ds2
112	3:22:18	is1
113	3:22:34	is2
114	3:24:14	ds1
115	3:27:22	ds1
116	3:29:00	swd1
117	3:29:03	swd2
118	3:29:03	swd1
119	3:34:02	swd1
120	3:34:19	swd2
121	3:34:34	swd1
122	3:34:50	swd2
123	3:41:25	swd1
124	3:41:30	swd2
125	3:56:50	swd1
126	3:57:00	swd2
127	3:57:21	swd1
128	3:57:24	swd2
129	3:58:49	swd1
130	3:58:57	swd2
131	4:00:51	swd1
132	4:01:08	swd2
133	4:01:11	swd1
134	4:01:18	swd2
135	4:01:52	swd1
136	4:02:13	swd2
137	4:02:24	swd1
138	4:02:32	swd2
139	4:02:42	swd1
140	4:02:52	swd2
141	4:03:04	swd1
142	4:03:16	swd2
143	4:03:41	swd1
144	4:03:45	swd2
145	4:03:57	swd1
146	4:04:02	swd2
147	4:04:19	swd1
148	4:04:23	swd2
149	4:04:42	swd1
150	4:04:45	swd2
151	4:05:11	swd1
152	4:05:18	swd2
153	4:05:35	ds1
154	4:07:02	ds2
155	4:07:04	swd1
156	4:07:07	swd2
157	4:07:09	ds1
158	4:11:41	ds2
159	4:14:07	ds1
160	4:17:32	ds2
161	4:19:35	swd1
162	4:19:40	swd2
163	4:22:50	swd1
164	4:22:53	swd2
165	4:23:13	ds1
166	4:23:49	ds2
167	4:24:03	swd1
168	4:24:05	swd2
169	4:24:28	ds1
170	4:26:29	ds2
171	4:27:22	ds1
172	4:28:09	ds2
173	4:28:21	is1
174	4:28:39	is2
175	4:33:38	ds1
176	4:38:01	ds2
177	4:38:03	is1
178	4:38:25	is2
179	4:40:11	swd1
180	4:40:18	swd2
181	4:40:24	swd1
182	4:40:28	swd2
183	4:45:56	swd1
184	4:45:59	swd2
185	4:47:01	ds1
186	4:47:56	ds2
187	5:02:37	swd1
188	5:02:43	swd2
189	5:07:51	swd1
190	5:07:56	swd2
191	5:09:20	swd1
192	5:09:31	swd2
193	5:13:09	swd1
194	5:13:22	swd2
195	5:13:35	swd1
196	5:13:54	swd2
197	5:14:47	swd1
198	5:15:04	swd2
199	5:15:15	swd1
200	5:15:30	swd2
201	5:15:51	swd1
202	5:16:05	swd2
203	5:16:10	swd1
204	5:16:17	swd2
205	5:16:26	swd1
206	5:16:32	swd2
207	5:16:36	swd1
208	5:16:47	swd2
209	5:16:52	swd1
210	5:16:57	swd2
211	5:17:03	swd1
212	5:17:12	swd2
213	5:18:23	swd1
214	5:18:42	swd2
215	5:18:45	swd1
216	5:18:56	swd2
217	5:19:09	swd1
218	5:19:23	swd2
219	5:19:30	swd1
220	5:19:39	swd2
221	5:19:47	swd1
222	5:20:02	swd2
223	5:20:06	swd1
224	5:20:14	swd2
225	5:21:23	swd1
226	5:21:30	swd2
227	5:21:30	swd2
228	5:21:54	swd1
229	5:21:58	swd2
230	5:22:10	swd1
231	5:22:24	swd2
232	5:22:55	swd1
233	5:22:59	swd2
234	5:23:37	swd1
235	5:23:40	swd2
236	5:23:55	ds1
237	5:25:08	ds2
238	5:25:25	swd1
239	5:25:27	swd2
240	5:25:47	ds1
241	5:27:16	ds2
242	5:28:28	is1
243	5:28:36	is2
244	5:28:44	swd1
245	5:28:48	swd2
246	5:30:11	ds1
247	5:31:47	ds2
248	5:31:54	swd1
249	5:32:00	swd2
250	5:32:17	ds1
251	5:34:27	ds2
252	5:34:31	swd1
253	5:34:33	swd2
254	5:34:50	ds1
255	5:36:04	ds2
256	5:38:25	swd1
257	5:38:29	swd2
258	5:38:43	swd1
259	5:38:43	swd1
260	5:38:46	swd2
261	5:38:55	ds1
262	5:39:48	ds2
263	5:39:52	is1
264	5:40:02	is2
265	5:40:14	swd1
266	5:40:18	swd2
267	5:40:41	swd1
268	5:40:44	swd2
269	5:41:39	swd1
270	5:41:44	swd2
271	5:41:53	swd1
272	5:41:58	swd2
273	5:44:12	is1
274	5:44:40	is2
275	5:46:45	swd1
276	5:46:48	swd2
277	5:47:34	swd1
278	5:47:37	swd2
279	5:48:08	ds1
280	5:49:41	ds2
281	5:50:30	ds1
282	5:51:55	ds2
283	5:52:36	ds1
284	5:53:26	ds2
285	5:55:11	ds1
286	5:58:17	ds2
287	5:58:17	is1
288	5:58:28	is2
289	5:58:33	swd1
290	5:58:39	swd2
