NN	время	маркер
315	5:13:57	swd1
316	5:14:00	swd2
317	5:14:05	swd1
318	5:14:09	swd2
319	5:14:26	swd1
320	5:14:29	swd2
321	5:14:45	swd1
322	5:14:46	swd2
323	5:14:49	swd1
324	5:14:51	swd2
325	5:15:20	swd1
326	5:15:24	swd2
327	5:16:19	swd1
328	5:16:24	swd2
329	5:16:28	swd1
330	5:16:32	swd2
331	5:16:49	swd1
332	5:16:51	swd2
333	5:18:14	swd1
334	5:18:18	swd2
335	5:18:33	swd1
336	5:18:36	swd2
337	5:18:42	swd1
338	5:18:48	swd2
339	5:18:51	swd1
340	5:18:56	swd2
341	5:19:03	swd1
342	5:19:07	swd2
343	5:19:11	swd1
344	5:19:13	swd2
345	5:19:26	swd1
346	5:19:31	swd2
347	5:19:42	swd1
348	5:19:48	swd2
349	5:20:38	swd1
350	5:20:42	swd2
351	5:21:00	ds1
352	5:34:49	ds2
353	5:36:03	swd1
354	5:36:08	swd2
355	5:36:19	swd1
356	5:36:26	swd2
357	5:36:41	swd1
358	5:36:46	swd2
359	5:36:49	swd1
360	5:36:52	swd2
361	5:37:13	swd1
362	5:37:17	swd2
363	5:37:18	swd1
364	5:37:21	swd2
365	5:37:39	swd1
366	5:37:43	swd2
367	5:37:48	swd1
368	5:37:52	swd2
369	5:38:20	swd1
370	5:38:26	swd2
371	5:38:35	swd1
372	5:38:39	swd2
373	5:38:41	swd1
374	5:38:43	swd2
375	5:39:30	swd1
376	5:39:35	swd2
377	5:40:34	swd1
378	5:40:38	swd2
379	5:40:44	swd1
380	5:40:50	swd2
381	5:40:55	swd1
382	5:41:01	swd2
383	5:41:05	swd1
384	5:41:08	swd2
385	5:41:13	swd1
386	5:41:19	swd2
387	5:41:38	swd1
388	5:41:42	swd2
389	5:41:46	swd1
390	5:41:48	swd2
391	5:42:06	swd1
392	5:42:11	swd2
393	5:42:28	swd1
394	5:42:33	swd2
395	5:42:40	swd1
396	5:42:46	swd2
397	5:43:01	swd1
398	5:43:09	swd2
399	5:43:25	swd1
400	5:43:28	swd2
401	5:43:44	swd1
402	5:43:51	swd2
403	5:47:01	swd1
404	5:47:10	swd2
405	5:47:14	swd1
406	5:47:21	swd2
407	5:47:25	swd1
408	5:47:29	swd2
409	5:48:38	ds1
410	5:54:21	ds2
411	5:57:57	swd1
412	5:58:00	swd2
413	5:58:03	swd1
414	5:58:10	swd2
415	5:58:48	swd1
416	5:58:51	swd2
417	5:59:00	swd1
418	5:59:07	swd2
419	5:59:08	swd1
420	5:59:14	swd2
421	5:59:47	swd1
422	5:59:52	swd2
423	5:59:54	swd1
424	5:59:58	swd2
